CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Latitude,Longitude,Premise,Total Incidents
12/31/16,19:23:00,7A,900 MCHENRY ST,AUTO THEFT,O,,932,SOUTHERN,Washington Village/Pigtow,39.28479,-76.63202,STREET,1
12/31/16,19:18:00,3B,ST & WAGNER ST,ROBBERY - STREET,O,,232,SOUTHEASTERN,Canton,39.28301,-76.58362,STREET,1
12/31/16,19:00:00,4E,RD & S MONROE ST,COMMON ASSAULT,O,HANDS,921,SOUTHERN,Westport,39.26846,-76.63128,STREET,1
12/31/16,19:00:00,5A,800 MELVILLE AVE,BURGLARY,I,,543,NORTHERN,Waverly,39.33139,-76.60413,ROW/TOWNHO,1
12/31/16,19:00:00,6D,700 E PRATT ST,LARCENY FROM AUTO,I,,112,CENTRAL,Inner Harbor,39.28681,-76.60533,GARAGE ON,1
12/31/16,18:55:00,4A,1200 WICKLOW RD,AGG. ASSAULT,O,FIREARM,822,SOUTHWESTERN,Rognel Heights,39.29853,-76.6917,STREET,1
12/31/16,18:50:00,3CF,0 N WOODINGTON RD,ROBBERY - COMMERCIAL,O,FIREARM,843,SOUTHWESTERN,Irvington,39.28674,-76.68682,PARKING LO,1
12/31/16,18:45:00,4C,3700 EDMONDSON AVE,AGG. ASSAULT,I,OTHER,844,SOUTHWESTERN,Edgewood,39.29394,-76.67956,GROCERY/CO,1
12/31/16,18:36:00,4E,4100 FERNHILL AVE,COMMON ASSAULT,I,HANDS,621,NORTHWESTERN,West Arlington,39.33763,-76.68755,ROW/TOWNHO,1
12/31/16,18:30:00,6D,6100 MORAVIA PARK DR,LARCENY FROM AUTO,O,,443,NORTHEASTERN,Pulaski Industrial Area,39.31498,-76.53973,PARKING LO,1
12/31/16,18:30:00,6D,6100 MORAVIA PARK DR,LARCENY FROM AUTO,O,,443,NORTHEASTERN,Pulaski Industrial Area,39.31498,-76.53973,PARKING LO,1
